Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 12:20:15.48','Uplink Msg (C)','acf71fa6',,'924a',,'Corrupted! Invalid packet size (Wrong FOpts len)'
'2021-09-05 12:20:42.93','Join-Request',,'75c600000aca2500',,,
'2021-09-05 12:20:50.65','Uplink Msg (C)','260b5bde',,'0000',,
'2021-09-05 12:20:50.66','Uplink Msg (C)','260b5bde',,'0000',,
'2021-09-05 12:20:55.69','Downlink Msg (UC)','260b5bde',,'0000',,
'2021-09-05 12:21:04.65','Join-Accept','bcd7ef1f',,,,'Corrupted! Invalid packet size.'
'2021-09-05 12:21:06.23','Downlink Msg (UC)','30676c4f',,'a3bf',,
'2021-09-05 12:21:50.90','Uplink Msg (C)','260b5bde',,'0001',,
'2021-09-05 12:22:50.90','Uplink Msg (C)','260b5bde',,'0002',,
'2021-09-05 12:23:50.90','Uplink Msg (C)','260b5bde',,'0003',,
'2021-09-05 12:23:55.95','Downlink Msg (UC)','260b5bde',,'0003',,
'2021-09-05 12:24:50.89','Uplink Msg (C)','260b5bde',,'0004',,
'2021-09-05 12:25:50.89','Uplink Msg (C)','260b5bde',,'0005',,
'2021-09-05 12:25:55.92','Downlink Msg (UC)','260b5bde',,'0005',,
'2021-09-05 12:26:49.12','Join-Request',,'75c600000aca2500',,,
'2021-09-05 12:26:54.20','Join-Accept','5a407340',,,,
'2021-09-05 12:26:56.71','Uplink Msg (C)','260b1ae2',,'0000',,
'2021-09-05 12:26:56.71','Uplink Msg (C)','260b1ae2',,'0000',,
'2021-09-05 12:27:01.75','Downlink Msg (UC)','260b1ae2',,'0000',,
'2021-09-05 12:27:10.19','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 12:27:17.01','Join-Accept','2ae48b61',,,,
'2021-09-05 12:27:26.17','Downlink Msg (UC)','35ab5963',,'68f1',,
'2021-09-05 12:27:32.40','Uplink Msg (UC)','260b6e9f',,'0000',,
'2021-09-05 12:27:38.87','Downlink Msg (C)','260b6e9f',,'0001',,
'2021-09-05 12:27:56.96','Uplink Msg (C)','260b1ae2',,'0001',,
'2021-09-05 12:28:02.00','Downlink Msg (UC)','260b1ae2',,'0001',,
'2021-09-05 12:28:56.96','Uplink Msg (C)','260b1ae2',,'0002',,
'2021-09-05 12:29:02.00','Downlink Msg (UC)','260b1ae2',,'0002',,
'2021-09-05 12:29:56.95','Uplink Msg (C)','260b1ae2',,'0003',,
'2021-09-05 12:30:01.99','Downlink Msg (UC)','260b1ae2',,'0003',,
'2021-09-05 12:30:10.57','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:30:16.23','Join-Accept','f2b8c6ef',,,,'Corrupted! Invalid packet size.'
'2021-09-05 12:30:48.30','Downlink Msg (UC)','dff62b2e',,'84f5',,
'2021-09-05 12:30:56.94','Uplink Msg (C)','260b1ae2',,'0004',,
'2021-09-05 12:30:56.95','Uplink Msg (C)','260b1ae2',,'0004',,
'2021-09-05 12:31:01.99','Downlink Msg (UC)','260b1ae2',,'0004',,
'2021-09-05 12:31:56.94','Uplink Msg (C)','260b1ae2',,'0005',,
'2021-09-05 12:32:01.98','Downlink Msg (UC)','260b1ae2',,'0005',,
'2021-09-05 12:32:02.06','Uplink Msg (C)','260b1ae2',,'0005',,
'2021-09-05 12:32:07.10','Downlink Msg (UC)','260b1ae2',,'0006',,
'2021-09-05 12:32:56.93','Uplink Msg (C)','260b1ae2',,'0006',,
'2021-09-05 12:33:01.98','Downlink Msg (UC)','260b1ae2',,'0007',,
'2021-09-05 12:34:00.77','Uplink Msg (C)','260b1ae2',,'0007',,
'2021-09-05 12:34:00.78','Uplink Msg (C)','260b1ae2',,'0007',,
'2021-09-05 12:34:05.82','Downlink Msg (UC)','260b1ae2',,'0008',,
'2021-09-05 12:34:52.80','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:35:00.76','Uplink Msg (C)','260b1ae2',,'0008',,
'2021-09-05 12:35:00.77','Uplink Msg (C)','260b1ae2',,'0008',,
'2021-09-05 12:35:05.81','Downlink Msg (UC)','260b1ae2',,'0009',,
'2021-09-05 12:35:21.84','Downlink Msg (C)','a8499583',,'8707',,
'2021-09-05 12:36:00.76','Uplink Msg (C)','260b1ae2',,'0009',,
'2021-09-05 12:36:00.77','Uplink Msg (C)','260b1ae2',,'0009',,
'2021-09-05 12:36:05.80','Downlink Msg (UC)','260b1ae2',,'000a',,
'2021-09-05 12:36:51.44','Downlink Msg (UC)','f037c1dc',,'1fd3',,
'2021-09-05 12:37:00.76','Uplink Msg (C)','260b1ae2',,'000a',,
'2021-09-05 12:37:05.80','Downlink Msg (UC)','260b1ae2',,'000b',,
'2021-09-05 12:37:05.87','Uplink Msg (C)','260b1ae2',,'000a',,
'2021-09-05 12:37:05.87','Uplink Msg (C)','260b1ae2',,'000a',,
'2021-09-05 12:37:14.94','Uplink Msg (C)','260b1ae2',,'000a',,
'2021-09-05 12:37:14.95','Uplink Msg (C)','260b1ae2',,'000a',,
'2021-09-05 12:37:20.03','Downlink Msg (UC)','260b1ae2',,'000c',,
'2021-09-05 12:38:00.75','Uplink Msg (C)','260b1ae2',,'000b',,
'2021-09-05 12:38:00.76','Uplink Msg (C)','260b1ae2',,'000b',,
'2021-09-05 12:38:05.82','Downlink Msg (UC)','260b1ae2',,'000d',,
'2021-09-05 12:38:09.64','Join-Accept','a4240522',,,,'Corrupted! Invalid packet size.'
'2021-09-05 12:38:12.26','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:39:03.35','Uplink Msg (C)','260b1ae2',,'000c',,
'2021-09-05 12:39:08.39','Downlink Msg (UC)','260b1ae2',,'000e',,
'2021-09-05 12:40:03.35','Uplink Msg (C)','260b1ae2',,'000d',,
'2021-09-05 12:40:03.36','Uplink Msg (C)','260b1ae2',,'000d',,
'2021-09-05 12:40:08.38','Downlink Msg (UC)','260b1ae2',,'000f',,
'2021-09-05 12:41:03.34','Uplink Msg (C)','260b1ae2',,'000e',,
'2021-09-05 12:41:03.35','Uplink Msg (C)','260b1ae2',,'000e',,
'2021-09-05 12:41:08.38','Downlink Msg (UC)','260b1ae2',,'0010',,
'2021-09-05 12:42:03.34','Uplink Msg (C)','260b1ae2',,'000f',,
'2021-09-05 12:42:08.38','Downlink Msg (UC)','260b1ae2',,'0011',,
'2021-09-05 12:43:03.33','Uplink Msg (C)','260b1ae2',,'0010',,
'2021-09-05 12:43:08.37','Downlink Msg (UC)','260b1ae2',,'0012',,
